"user","longitude","latitude","Axe Temps","id","picture","datetaken"
"10533740@N03",4.823,45.763,6549,"8877045797","http://farm9.staticflickr.com/8545/8877045797_d8212d4812_t.jpg","2013-04-24"
"10533740@N03",4.823,45.765,6314,"8877049787","http://farm8.staticflickr.com/7401/8877049787_67c660affc_t.jpg","2012-09-05"
"10533740@N03",4.8235,45.762,5154,"8877659814","http://farm4.staticflickr.com/3803/8877659814_b9a683aa0d_t.jpg","2009-07-23"
"10533740@N03",4.8242,45.766,6314,"8877051187","http://farm8.staticflickr.com/7374/8877051187_72ed5c78e0_t.jpg","2012-09-05"
"10533740@N03",4.8255,45.763,6549,"8877663456","http://farm9.staticflickr.com/8548/8877663456_5b68f30475_t.jpg","2013-04-24"
"10533740@N03",4.8262,45.757,5154,"8877101001","http://farm8.staticflickr.com/7288/8877101001_3ae66fe690_t.jpg","2009-07-23"
"10533740@N03",4.8265,45.757,6543,"8877055139","http://farm8.staticflickr.com/7312/8877055139_6a8d5facb4_t.jpg","2013-04-17"
"10533740@N03",4.8265,45.762,6488,"8877693406","http://farm3.staticflickr.com/2880/8877693406_c9483e6db2_t.jpg","2013-02-24"
"10533740@N03",4.8267,45.762,6488,"8877073865","http://farm9.staticflickr.com/8413/8877073865_17d5328c25_t.jpg","2013-02-24"
"10533740@N03",4.8268,45.757,5154,"8877084675","http://farm8.staticflickr.com/7292/8877084675_c9de97c01c_t.jpg","2009-07-23"
"10533740@N03",4.8268,45.761,5551,"8877071589","http://farm6.staticflickr.com/5338/8877071589_7f759f574c_t.jpg","2010-08-17"
"10533740@N03",4.8268,45.762,6488,"8877076267","http://farm3.staticflickr.com/2851/8877076267_e4395d14af_t.jpg","2013-02-24"
"10533740@N03",4.827,45.762,6488,"8877679878","http://farm8.staticflickr.com/7334/8877679878_7782da1380_t.jpg","2013-02-24"
"10533740@N03",4.8271,45.761,6549,"8877069115","http://farm8.staticflickr.com/7340/8877069115_db4567fd1b_t.jpg","2013-04-24"
"10533740@N03",4.8272,45.761,5154,"8877067969","http://farm9.staticflickr.com/8280/8877067969_7368ab0f22_t.jpg","2009-07-23"
"10533740@N03",4.8274,45.763,6549,"8877040643","http://farm6.staticflickr.com/5457/8877040643_bcbaf87096_t.jpg","2013-04-24"
"10533740@N03",4.8275,45.768,6549,"8877030519","http://farm3.staticflickr.com/2855/8877030519_58b671674a_t.jpg","2013-04-24"
"10533740@N03",4.8279,45.778,6549,"8877021283","http://farm6.staticflickr.com/5465/8877021283_f6b988ae66_t.jpg","2013-04-24"
"10533740@N03",4.8281,45.768,6549,"8877031791","http://farm3.staticflickr.com/2869/8877031791_c6be713c14_t.jpg","2013-04-24"
"10533740@N03",4.8285,45.76,6549,"8877667266","http://farm9.staticflickr.com/8122/8877667266_132601aa16_t.jpg","2013-04-24"
"10533740@N03",4.8287,45.765,6549,"8877035523","http://farm6.staticflickr.com/5346/8877035523_85133fffc6_t.jpg","2013-04-24"
"10533740@N03",4.8291,45.759,5551,"8877086083","http://farm8.staticflickr.com/7422/8877086083_abb1a6e9ee_t.jpg","2010-08-17"
"10533740@N03",4.8306,45.763,5551,"8877678710","http://farm4.staticflickr.com/3797/8877678710_3585587322_t.jpg","2010-08-17"
"10533740@N03",4.8313,45.756,5551,"8877724224","http://farm8.staticflickr.com/7308/8877724224_8157a40e6a_t.jpg","2010-08-17"
"10533740@N03",4.8313,45.761,6543,"8877671550","http://farm4.staticflickr.com/3817/8877671550_0105928e0c_t.jpg","2013-04-17"
"10533740@N03",4.8315,45.761,6543,"8877672926","http://farm8.staticflickr.com/7353/8877672926_741d85cb4c_t.jpg","2013-04-17"
"10533740@N03",4.8316,45.772,5154,"8877657388","http://farm4.staticflickr.com/3716/8877657388_c9e97f70ff_t.jpg","2009-07-23"
"10533740@N03",4.8317,45.77,6549,"8877027569","http://farm3.staticflickr.com/2827/8877027569_b4995b6c58_t.jpg","2013-04-24"
"10533740@N03",4.8318,45.76,6408,"8877268671","http://farm8.staticflickr.com/7322/8877268671_60ec0b0fbd_t.jpg","2012-12-06"
"10533740@N03",4.8319,45.772,6549,"8877641694","http://farm8.staticflickr.com/7439/8877641694_47d5f3df66_t.jpg","2013-04-24"
"10533740@N03",4.833,45.757,5551,"8877093575","http://farm4.staticflickr.com/3722/8877093575_a05ae6fffd_t.jpg","2010-08-17"
"10533740@N03",4.8333,45.757,5551,"8877089939","http://farm8.staticflickr.com/7348/8877089939_c6db5c57d3_t.jpg","2010-08-17"
"10533740@N03",4.8335,45.758,5551,"8877711342","http://farm4.staticflickr.com/3698/8877711342_9835fe55b6_t.jpg","2010-08-17"
"10533740@N03",4.8335,45.767,6408,"8877275993","http://farm3.staticflickr.com/2881/8877275993_886e3f25db_t.jpg","2012-12-06"
"10533740@N03",4.8336,45.757,5153,"8877091173","http://farm4.staticflickr.com/3763/8877091173_108c3b686a_t.jpg","2009-07-22"
"10533740@N03",4.8337,45.757,5551,"8877088623","http://farm8.staticflickr.com/7335/8877088623_3e29866b59_t.jpg","2010-08-17"
"10533740@N03",4.8337,45.767,5154,"8877111467","http://farm9.staticflickr.com/8270/8877111467_b56fee5594_t.jpg","2009-07-23"
"10533740@N03",4.8337,45.767,6408,"8877271283","http://farm6.staticflickr.com/5455/8877271283_c78f14ea59_t.jpg","2012-12-06"
"10533740@N03",4.8337,45.768,6171,"8877729766","http://farm9.staticflickr.com/8546/8877729766_cc6b4fa6fc_t.jpg","2012-04-17"
"10533740@N03",4.8338,45.767,5153,"8877728378","http://farm6.staticflickr.com/5470/8877728378_af6e551c20_t.jpg","2009-07-22"
"10533740@N03",4.8357,45.752,5153,"8877097223","http://farm4.staticflickr.com/3808/8877097223_d2b2ba74dd_t.jpg","2009-07-22"
"10533740@N03",4.8359,45.768,5153,"8877109987","http://farm8.staticflickr.com/7335/8877109987_7a310e992b_t.jpg","2009-07-22"
"10533740@N03",4.84,45.758,5153,"8877721548","http://farm4.staticflickr.com/3815/8877721548_f90f00cd72_t.jpg","2009-07-23"
"10533740@N03",4.84,45.758,6549,"8877104911","http://farm6.staticflickr.com/5348/8877104911_af88a9298b_t.jpg","2013-04-24"
"10533740@N03",4.8403,45.757,6549,"8877722944","http://farm4.staticflickr.com/3805/8877722944_73a0e9c7a3_t.jpg","2013-04-24"
"10533740@N03",4.841,45.764,5153,"8877714036","http://farm6.staticflickr.com/5448/8877714036_46060052d3_t.jpg","2009-07-23"
"10533740@N03",4.8411,45.761,5551,"8877717720","http://farm6.staticflickr.com/5454/8877717720_2514439077_t.jpg","2010-08-17"
"10533740@N03",4.8412,45.762,5551,"8877719032","http://farm8.staticflickr.com/7451/8877719032_261e954dec_t.jpg","2010-08-17"
